,Care,Fairness,Loyalty,Authority,Sanctity
,Harm,Cheating,Betrayal,Subversion,Degredation
93,-0.12040741,-0.098958,-0.13684784,-0.15063135,-0.11893764
94,-0.248663,-0.0025453921,-0.14179322,-0.12578402,-0.13393652
95,-0.016134404,-0.020667579,-0.12461482,-0.16946912,0.07878731
96,-0.065083005,0.011768251,-0.087706015,-0.14603473,0.04054118
97,-0.095060244,-0.01985586,-0.1642574,-0.18655889,0.01727533
98,-0.087066494,0.014827142,-0.062178984,-0.07780623,0.026673019
99,-0.09788215,-0.0020367475,-0.014688034,-0.14806584,-0.030764703
100,0.12286749,0.0038212216,0.032308914,0.05194658,0.14562052
101,-0.055701915,0.04969512,-0.053508803,-0.0072376146,0.054693233
102,-0.044945583,0.0024432074,-0.075902045,-0.13272718,0.029182136
103,-0.09559763,0.006803915,-0.082740776,-0.021349743,-0.1318425
104,-0.052834768,-0.024680069,-0.0029922747,-0.0040335297,0.080206856
105,-0.030190889,-0.013700804,-0.05772445,-0.12202598,0.009405348
106,-0.09902556,-0.032463517,-0.15274838,-0.026720548,-0.037131175
107,-0.083651006,-0.034778357,-0.13330148,-0.1528449,-0.03463489
108,-0.09711188,-0.03786383,-0.14001626,-0.1774107,-0.06121978
109,-0.0036670184,0.041052062,0.017253153,0.02932453,0.032501154
110,-0.1724064,-0.033704735,-0.16656645,-0.11775227,-0.019799072
111,-0.14981315,0.004901278,-0.1282442,-0.16891482,-0.054105904
112,0.018785413,-0.024019048,-0.04114693,-0.08244927,0.03451597
113,-0.14998013,-0.04490322,-0.081378624,-0.078938656,-0.011103356
114,0.04276993,-0.05937624,-0.09402188,-0.112518795,0.03708394
115,0.014455301,-0.08484154,-0.08927397,-0.12665176,0.05024579
116,-0.07514772,-0.05529124,-0.14662686,-0.17207807,-0.022175524
117,-0.09107246,-0.02129557,-0.106460154,-0.118233405,0.08946811
118,-0.02563874,-0.0066299234,-0.059041634,-0.020908888,0.0120958
119,-0.05815477,0.073576875,0.017177373,0.000587509,0.12476961
120,0.030005034,0.05545765,0.0453282,-0.004717909,0.101072684
121,-0.026038937,-0.002259627,0.015786478,-0.17459993,0.0048734136
122,0.076623164,0.11332069,0.08556505,0.069760256,0.060725436
