,Care,Fairness,Loyalty,Authority,Sanctity
,Harm,Cheating,Betrayal,Subversion,Degredation
46,0.002717834,0.010404395,-0.021901758,-0.015168134,0.0150871845
47,0.038270697,0.046076015,0.040285505,-0.005747076,-0.03251411
48,0.052976392,0.071607426,0.042827826,-0.016643569,0.01809503
49,0.056027178,0.14106722,0.079463124,-0.0015602,0.0793366
50,0.0025099432,0.045872897,0.007880559,-0.066151395,-0.07254756
51,0.0027631354,0.054924496,-0.0097923055,-0.039049096,-0.0795118
52,-0.07059806,0.07430267,-0.047088716,0.04735137,-0.085398495
53,-0.04042878,-0.1331862,-0.14827695,-0.08686824,-0.16596797
54,-0.06571568,-0.07544363,-0.1667292,-0.05758276,-0.19168887
55,-0.007879992,0.046709754,-0.0690805,-0.0982122,-0.04887626
56,-0.031113278,-0.061979454,-0.06345018,-0.03538181,-0.10287516
57,-0.032890953,-0.060490403,-0.01956944,0.0058107357,-0.14737692
58,0.020504069,-0.10548348,-0.043519452,0.07162916,-0.1524967
59,0.022513606,-0.025997682,-0.019564234,-0.087790236,0.020570785
60,0.0679125,0.05425026,0.042602688,-0.02849833,-0.009823368
61,0.0035465956,-0.016310459,-0.024357112,-0.07993124,-0.06740845
62,0.03999153,-0.011682796,0.007602429,-0.02490328,-0.015870772
63,-0.0108149685,0.0065393317,-0.012437793,-0.029523652,-0.143795
64,-0.0042009326,0.052825768,0.0007838765,-0.03559576,-0.07359384
65,-0.008564493,0.008224005,-0.03913305,-0.06753867,-0.12758867
66,0.044302538,0.1291371,0.09391828,0.01388422,0.005562948
67,0.11919514,0.08191286,0.10895307,0.10239982,-0.035730626
68,-0.060257748,-0.01281256,-0.07986949,-0.027529653,-0.11839402
69,-0.077984035,-0.0049772384,-0.0835488,-0.08781016,-0.13298345
70,-0.15546127,-0.15714633,-0.17589174,-0.11959037,-0.21957737
71,-0.17622629,0.0022117514,-0.15189256,-0.164635,-0.14925492
72,-0.014531816,-0.06996843,-0.15953743,-0.17156625,-0.11049605
73,-0.108560994,0.120622955,-0.044404253,0.014970911,-0.008462932
74,-0.075220086,0.007740438,-0.08876009,-0.12992527,-0.096722044
75,-0.124696314,-0.0956553,-0.16301985,-0.18998794,-0.18375644
76,-0.06320823,0.04159181,-0.02165062,0.041292805,-0.034583934
77,-0.024793558,-0.028931573,-0.03667581,-0.06914185,-0.10254165
78,-0.12462535,0.10884476,-0.0640696,0.0029973555,-0.052827608
79,-0.05268316,0.08010313,-0.023552518,-0.062249288,-0.010806525
