,Care,Fairness,Loyalty,Authority,Sanctity
,Harm,Cheating,Betrayal,Subversion,Degredation
178,0.0006473474,-0.006933677,-0.12788954,-0.15712129,-0.16122341
179,0.05612436,0.08355611,0.019947007,0.107494034,-0.053114615
180,-0.12566477,0.0104298275,0.0037462246,0.008711827,-0.07445647
181,0.02715323,0.007699212,0.03424242,0.05662521,-0.06297444
182,0.105780326,0.06987335,0.050664917,0.12923051,0.07323742
183,0.09769955,0.05091025,0.05592215,0.12221442,-0.09242601
184,0.043146737,0.05978829,0.051750563,0.05863445,-0.0789095
185,0.0060151024,0.019829556,0.038621463,-0.010535937,0.12226786
186,0.10573519,0.1015529,-0.009903189,0.05767706,-0.005269941
187,-0.048556767,0.070998296,-0.038280036,-0.09874715,-0.041235242
188,0.038113624,0.03592844,-0.022269117,-0.0014127009,-0.04411107
189,0.07568519,0.092037395,0.03261265,0.06197663,0.013459642
190,0.020803088,0.07083974,-0.027200028,-0.011740096,-0.046326846
191,0.07555247,0.09215778,0.06236928,0.12253071,0.056378935
192,0.01924849,0.040088043,-0.02337223,-0.01962021,-0.0795998
193,0.05226219,0.07753063,0.014215074,0.030024521,-0.010667269
194,0.048019633,0.043877114,0.037156634,0.09255473,0.055242244
195,0.109033816,0.154296,0.11129388,0.108044565,0.02594565
196,0.08322817,0.064506255,0.022780776,0.092563786,0.023783866
197,0.033233125,0.14270139,0.023616994,0.037258197,0.053944163
198,0.07483801,0.13647377,0.13470179,0.13247651,0.024581136
199,0.12638673,0.20063779,0.2261304,0.26893142,0.17635916
200,0.006632263,0.042521752,0.02888904,0.08219599,-0.015176555
201,0.08941102,0.09306859,0.07202729,0.16507176,-0.0077764085
202,0.0707538,0.14287777,0.054069884,0.054853648,0.05219945
203,-0.02634219,0.08777203,0.008186936,-0.002078645,0.0013029873
204,0.085374884,0.14851102,0.049703576,0.10276379,0.032803304
205,0.10554318,0.14499015,0.11128537,0.1036098,0.0318044
206,0.06240031,0.19089559,0.08088707,0.07351745,0.04197765
207,0.052457847,-0.031692483,0.09173331,0.035490915,-0.011938538
208,0.09529084,0.12744638,0.02658496,0.05518478,0.04024471
209,0.04544326,0.059417143,-0.044847757,0.018001148,0.015797783
210,-0.027466793,0.056244276,-0.051115286,-0.0018260553,-0.09725854
211,0.121720515,0.12540646,0.04118625,0.09783454,0.0056065433
212,0.049366884,0.06829238,-0.028061444,-0.018378243,0.055433676
213,0.070422284,0.036515668,-0.0003339108,-0.0427496,0.0137453815
214,-0.031076837,0.025090307,-0.094203144,-0.07974554,-0.21087888
215,0.09097522,0.104344815,0.08002083,0.14276694,0.118208
216,0.03919086,0.058361746,-0.01687019,0.011022456,-0.039749824
217,0.051807206,0.14125651,0.017589422,0.03712168,0.10289425
218,0.03677771,0.091112435,-0.006603772,0.02245168,0.028552897
219,0.09773214,0.08679126,0.04090846,0.050385717,-0.0018318878
220,-0.04555182,0.01769007,-0.012934868,-0.026441988,-0.1523574
221,0.018523112,0.06497349,0.00851422,0.040214647,0.004739791
222,-0.002293576,0.08586238,-0.03454349,-0.028896136,0.019212166
223,0.08489375,0.008324915,-0.037959293,0.005086444,0.050878957
224,-0.020672506,0.00542403,0.0400912,0.03993112,0.046826433
225,-0.013565527,-0.01672376,-0.015770536,0.05473584,0.01007801
226,0.06732269,0.12500043,0.009992667,0.054873385,-0.014145153
227,0.03486968,0.11232575,0.022983372,0.024747442,0.028847776
228,-0.0442119,0.08518128,-0.035421345,-0.024436245,-0.058631565
229,0.040510025,0.10550794,-0.0047744564,0.024212273,-0.10429021
230,-0.043455895,-0.034891527,-0.05651816,-0.1078306,-0.07935654
231,0.0694645,0.09033594,-0.017851742,-0.051954124,-0.00965491
232,0.10122228,0.10508582,0.014341129,0.05431575,0.056245815
233,0.014087533,0.069438025,-0.016608749,-0.010704728,-0.022322498
234,0.06141843,-0.026825786,0.023368992,-0.0045409016,-0.07146387
235,0.07943103,0.13037731,0.13560711,0.06883662,0.0077888137
236,-0.054028615,-0.05324167,-0.009333102,-0.01980695,-0.08212536
237,0.05005595,0.09490751,0.03874608,0.06158872,0.020516345
238,0.014257252,0.07571736,-0.020726416,-0.053336278,-0.015145954
239,-0.013788598,0.055056486,-0.009625814,-0.018519301,-0.06371699
240,0.015078679,0.049906578,-0.01750805,-0.02434232,-0.04456313
241,0.103383735,0.13796583,0.02413339,-0.014279742,0.123476535
242,0.043670483,0.04840304,0.02112408,0.019741157,-0.029275516
243,0.065937825,0.0987639,0.05150409,0.07971277,0.019263942
244,0.11740963,0.052467264,0.057706114,0.049481023,0.012796322
245,0.064115316,0.07664606,0.007857811,0.045393843,0.047352314
246,0.05906408,0.08532222,-0.00046834443,-0.07455718,0.034874
247,0.09545307,0.0891529,0.117712006,0.11011191,0.076024696
248,0.0103605455,0.00949973,-0.0143642,0.0010121595,-0.15295269
249,0.041026324,0.028301975,0.012638463,-0.05273553,-0.01908788
